Competency,Competency ID,User ID,First Name,Last Name,Average Score,Assessment Name,Assessment ID,Date Taken
Computer Anatomy,1,1,Carmine,Voisey,3.0,33,1,2022-08-03
Computer Anatomy,1,2,Marten,Dreossi,2.0,33,1,2022-05-22
Computer Anatomy,1,3,Brig,Chad,1.5,33,1,2023-01-22
Computer Anatomy,1,6,Babb,Blaske,1.0,33,1,2023-02-04
Computer Anatomy,1,7,Kaspar,Elby,0.0,33,1,2022-12-11
Computer Anatomy,1,8,Neilla,Waine,1.0,verbal test,3,2022-09-20
Computer Anatomy,1,9,Lonnie,Cesconi,4.0,33,1,2022-11-07
Computer Anatomy,1,10,Mariya,Domnick,2.6666666666666665,33,1,2022-09-05
Computer Anatomy,1,11,Lina,Fishleigh,2.5,33,1,2023-01-23
Computer Anatomy,1,12,Oran,Ferguson,3.0,33,1,2022-04-14
Computer Anatomy,1,13,Jolie,Drillot,2.0,33,1,2022-05-29
Computer Anatomy,1,14,Janith,Ashfull,3.0,33,1,2023-04-07
Computer Anatomy,1,15,Don,Bulloch,3.0,verbal test,3,2022-09-19
Computer Anatomy,1,16,Murielle,Balchen,4.0,33,1,2022-08-08
Computer Anatomy,1,18,Corney,Romanetti,2.0,33,1,2022-11-22
Computer Anatomy,1,19,Robinetta,Easdon,2.0,33,1,2022-08-03
Computer Anatomy,1,21,Ammon,Roy,2.0,verbal test,3,2023-01-10
Computer Anatomy,1,22,Sarah,Wonky,4.0,verbal test,3,2022-11-20
Computer Anatomy,1,23,John,Ipson,0.0,33,1,2022-06-05
Data Types,2,1,Carmine,Voisey,1.5,verbal test,4,2022-06-15
Data Types,2,2,Marten,Dreossi,3.0,verbal test,4,2023-02-27
Data Types,2,4,Arluene,Lande,1.0,verbal test,4,2022-07-05
Data Types,2,5,Susan,Roy,1.75,verbal test,4,2022-05-27
Data Types,2,7,Kaspar,Elby,2.0,written test,2,2022-12-10
Data Types,2,8,Neilla,Waine,2.0,written test,2,2023-01-23
Data Types,2,9,Lonnie,Cesconi,1.6666666666666667,written test,2,2023-01-19
Data Types,2,10,Mariya,Domnick,1.6666666666666667,verbal test,4,2022-06-06
Data Types,2,12,Oran,Ferguson,3.6666666666666665,verbal test,4,2022-09-30
Data Types,2,13,Jolie,Drillot,2.0,verbal test,4,2022-06-04
Data Types,2,15,Don,Bulloch,2.3333333333333335,verbal test,4,2022-11-11
Data Types,2,16,Murielle,Balchen,3.0,verbal test,4,2022-07-06
Data Types,2,17,Daisi,Klimshuk,3.5,verbal test,4,2022-07-14
Data Types,2,18,Corney,Romanetti,1.3333333333333333,verbal test,4,2022-08-15
Data Types,2,19,Robinetta,Easdon,3.0,written test,2,2023-03-23
Data Types,2,20,Rockwell,Chipps,0.0,written test,2,2022-10-15
Data Types,2,23,John,Ipson,3.0,written test,2,2022-08-14
Variables,3,3,Brig,Chad,3.0,written test,5,2022-07-17
Variables,3,4,Arluene,Lande,2.0,verbal test,7,2022-04-24
Variables,3,5,Susan,Roy,3.0,verbal test,7,2022-08-31
Variables,3,6,Babb,Blaske,1.5,verbal test,7,2023-04-07
Variables,3,8,Neilla,Waine,2.3333333333333335,verbal test,7,2022-11-07
Variables,3,9,Lonnie,Cesconi,2.0,verbal test,7,2023-02-08
Variables,3,10,Mariya,Domnick,4.0,verbal test,7,2023-03-21
Variables,3,12,Oran,Ferguson,4.0,verbal test,7,2022-12-22
Variables,3,15,Don,Bulloch,2.6666666666666665,verbal test,7,2022-10-02
Variables,3,16,Murielle,Balchen,0.0,written test,5,2022-10-21
Variables,3,17,Daisi,Klimshuk,1.5,verbal test,7,2022-12-02
Variables,3,18,Corney,Romanetti,1.0,written test,5,2023-02-20
Variables,3,19,Robinetta,Easdon,0.0,verbal test,7,2022-11-05
Variables,3,20,Rockwell,Chipps,2.5,written test,5,2022-10-31
Functions,4,1,Carmine,Voisey,0.0,written test,6,2023-02-02
Functions,4,2,Marten,Dreossi,2.0,verbal test,8,2022-11-29
Functions,4,3,Brig,Chad,4.0,verbal test,8,2023-03-30
Functions,4,4,Arluene,Lande,2.0,verbal test,8,2023-04-02
Functions,4,5,Susan,Roy,3.0,verbal test,8,2023-04-12
Functions,4,6,Babb,Blaske,1.5,verbal test,8,2022-12-28
Functions,4,7,Kaspar,Elby,1.0,verbal test,8,2022-07-27
Functions,4,8,Neilla,Waine,2.0,verbal test,8,2022-11-12
Functions,4,9,Lonnie,Cesconi,0.0,written test,6,2022-07-25
Functions,4,10,Mariya,Domnick,2.0,written test,6,2022-08-29
Functions,4,12,Oran,Ferguson,3.0,verbal test,8,2023-03-26
Functions,4,13,Jolie,Drillot,1.0,written test,6,2022-10-27
Functions,4,14,Janith,Ashfull,2.6666666666666665,verbal test,8,2022-09-06
Functions,4,15,Don,Bulloch,2.75,verbal test,8,2022-12-09
Functions,4,16,Murielle,Balchen,3.0,verbal test,8,2022-11-19
Functions,4,17,Daisi,Klimshuk,4.0,verbal test,8,2022-12-09
Functions,4,18,Corney,Romanetti,2.5,verbal test,8,2022-10-14
Functions,4,19,Robinetta,Easdon,2.5,written test,6,2022-06-09
Functions,4,20,Rockwell,Chipps,1.0,verbal test,8,2022-04-25
Functions,4,22,Sarah,Wonky,2.3333333333333335,verbal test,8,2022-11-30
Functions,4,23,John,Ipson,4.0,verbal test,8,2022-06-14
Boolean Logic,5,2,Marten,Dreossi,3.0,verbal test,14,2022-10-16
Boolean Logic,5,3,Brig,Chad,2.5,written test,9,2023-02-26
Boolean Logic,5,4,Arluene,Lande,3.6666666666666665,verbal test,14,2022-05-31
Boolean Logic,5,5,Susan,Roy,2.0,verbal test,14,2022-08-02
Boolean Logic,5,6,Babb,Blaske,0.0,verbal test,14,2023-03-04
Boolean Logic,5,7,Kaspar,Elby,4.0,verbal test,14,2022-04-29
Boolean Logic,5,8,Neilla,Waine,1.25,verbal test,14,2022-06-15
Boolean Logic,5,9,Lonnie,Cesconi,1.5,verbal test,14,2022-07-17
Boolean Logic,5,10,Mariya,Domnick,2.5,verbal test,14,2022-07-29
Boolean Logic,5,12,Oran,Ferguson,3.0,verbal test,14,2022-12-06
Boolean Logic,5,13,Jolie,Drillot,2.0,verbal test,14,2022-06-16
Boolean Logic,5,14,Janith,Ashfull,0.5,verbal test,14,2022-06-07
Boolean Logic,5,16,Murielle,Balchen,0.0,written test,9,2022-11-17
Boolean Logic,5,20,Rockwell,Chipps,1.5,verbal test,14,2023-03-04
Boolean Logic,5,21,Ammon,Roy,4.0,verbal test,14,2023-03-03
Conditionals,6,1,Carmine,Voisey,1.0,verbal test,15,2022-04-17
Conditionals,6,2,Marten,Dreossi,3.0,verbal test,15,2022-08-07
Conditionals,6,3,Brig,Chad,3.0,verbal test,15,2022-10-12
Conditionals,6,4,Arluene,Lande,2.0,written test,10,2023-02-17
Conditionals,6,8,Neilla,Waine,4.0,written test,10,2022-08-19
Conditionals,6,9,Lonnie,Cesconi,0.0,verbal test,15,2022-08-09
Conditionals,6,10,Mariya,Domnick,3.0,written test,10,2022-06-29
Conditionals,6,11,Lina,Fishleigh,3.0,verbal test,15,2022-09-27
Conditionals,6,12,Oran,Ferguson,3.0,verbal test,15,2022-04-15
Conditionals,6,13,Jolie,Drillot,1.5,verbal test,15,2023-03-31
Conditionals,6,16,Murielle,Balchen,1.5,verbal test,15,2022-12-24
Conditionals,6,17,Daisi,Klimshuk,1.0,written test,10,2022-11-09
Conditionals,6,18,Corney,Romanetti,2.5,verbal test,15,2022-12-26
Conditionals,6,20,Rockwell,Chipps,1.0,verbal test,15,2022-09-10
Conditionals,6,22,Sarah,Wonky,3.0,written test,10,2022-08-24
Loops (For and While),7,1,Carmine,Voisey,3.0,verbal test,16,2022-12-16
Loops (For and While),7,2,Marten,Dreossi,3.5,verbal test,16,2022-04-28
Loops (For and While),7,4,Arluene,Lande,1.0,written test,11,2023-02-03
Loops (For and While),7,6,Babb,Blaske,2.0,verbal test,16,2023-01-15
Loops (For and While),7,8,Neilla,Waine,1.0,verbal test,16,2022-07-16
Loops (For and While),7,9,Lonnie,Cesconi,2.5,verbal test,16,2022-04-26
Loops (For and While),7,10,Mariya,Domnick,2.5,verbal test,16,2022-05-03
Loops (For and While),7,11,Lina,Fishleigh,4.0,verbal test,16,2022-12-04
Loops (For and While),7,12,Oran,Ferguson,4.0,verbal test,16,2022-09-15
Loops (For and While),7,14,Janith,Ashfull,4.0,written test,11,2022-05-27
Loops (For and While),7,15,Don,Bulloch,3.0,written test,11,2022-06-28
Loops (For and While),7,16,Murielle,Balchen,2.0,verbal test,16,2023-03-13
Loops (For and While),7,17,Daisi,Klimshuk,3.0,written test,11,2022-12-11
Loops (For and While),7,18,Corney,Romanetti,0.5,verbal test,16,2022-06-14
Loops (For and While),7,19,Robinetta,Easdon,2.0,written test,11,2022-06-16
Loops (For and While),7,22,Sarah,Wonky,3.0,verbal test,16,2022-12-30
Loops (For and While),7,23,John,Ipson,3.0,written test,11,2023-03-13
